SMILES,docking_score_kcal_mol,selectivity_note
Cc1nnc(CC(=O)NC[C@H]2CCN(c3ccnc(-c4nn[nH]n4)n3)C2)o1,-7.232,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2nccn3nnnc23)CCO1)c1nnc(O)nc1O,-7.03,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CN(c2ccncc2-c2nn[nH]n2)C[C@H]1O,-7.091,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cnnc(O)c1,-7.073,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cn1ncnn1)NCC[C@H](N=c1cc[nH]c(-c2nn[nH]n2)n1)c1ccccc1,-7.392,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cn(CC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3cc(=O)n4[nH]nnc4n3)C2)c(=O)nc1O,-7.823,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
NC(=O)c1cccc(C(=O)N[C@H]2CCN(c3ncccc3-c3nn[nH]n3)C[C@@H]2O)n1,-7.088,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.334,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cn1ncnn1)N[C@@H]1CCC[C@@H]1CNc1ncccc1-c1nn[nH]n1,-7.049,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN1C[C@H](C(=O)NC[C@@]2(C)CN(c3ncccc3-c3nn[nH]n3)CCO2)NC1=O,-7.061,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]c(C(=O)N[C@@H]2CCCN(c3ccc4nnnn4n3)C2)n1,-7.165,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc2cncn2c1)N1CCN(c2cncc(-c3nn[nH]n3)n2)[C@H]2CS(=O)(=O)C[C@H]21,-7.409,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1n[nH]c(C)c1C(=O)NC[C@@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.402,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H](CN=c2cc[nH]c(-c3nn[nH]n3)n2)C1)c1ncccc1O,-7.608,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CCn1nc(C(=O)N[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2C)ccc1=O,-7.207,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]c(C(=O)NC[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@H]2O)n1,-7.299,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)NC[C@H]2CC[C@@H](NC(=O)c3cn(C)c(=O)cn3)C2)n1,-7.032,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H](C(=O)NC(N)=O)N1C[C@H](O)[C@H](NC(=O)c2cn(C(C)(C)C)nn2)C1,-7.005,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1coc(C(=O)N[C@H]2C[C@@H](N=c3cc[nH]c(-c4nn[nH]n4)n3)C2)cc1=O,-7.341,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
