SMILES,docking_score_kcal_mol,selectivity_note
Cn1nnc(C(=O)N[C@@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)n1,-7.207,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]nc1C(=O)NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1,-7.484,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1ccc(-n2cncn2)nc1,-7.197,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1ccnc2[nH]nnc12,-7.643,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1C,-7.301,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ccnc(-c2nn[nH]n2)n1)c1nc2ncccn2n1,-7.369,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@@H]2[C@@H]1CCCN2C(=O)c1ccc(-c2nn[nH]n2)[nH]1)c1ncccc1O,-7.71,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1c1ccnc(-c2nn[nH]n2)n1,-7.574,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ncccc2-c2nn[nH]n2)CCO1)c1ccnc2[nH]nnc12,-7.955,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1noc(C)c1C(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1O,-7.12,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CC[C@@H](CN=c2cc[nH]c(-c3nn[nH]n3)n2)C1,-7.179,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
