SMILES,docking_score_kcal_mol,selectivity_note
COc1ccc(C(=O)NC[C@@H]2CCN(c3ccnc(-c4nn[nH]n4)n3)C2)nn1,-7.144,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1NC[C@@H](C(=O)N[C@@H]2CN(c3ccc4nccnc4n3)C[C@@H]2n2ccnn2)N1,-7.053,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1C[C@@H](C(=O)NCC2CN(c3cncc(-c4nn[nH]n4)n3)C2)CC(=O)N1,-7.129,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1COCCN1C(=O)c1c[nH]c(-c2nn[nH]n2)c1,-7.536,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)NC[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)nnn1C,-7.806,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nnc(CC(=O)N[C@H]2CC[C@H](N=c3cc[nH]c(-c4nn[nH]n4)n3)CC2)o1,-7.223,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1CN(C(=O)c2ccc(C(N)=O)nc2)C[C@@H]1NC(=O)c1c[nH]c(-c2nn[nH]n2)c1,-7.004,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CNC(=O)NCC(=O)N[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CC[C@@H]1C,-7.076,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1,-7.218,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1cc(-n2cc(C(=O)N[C@H]3CCN(c4ccccc4-c4nn[nH]n4)C3=O)ccc2=O)cn1,-7.456,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CCN1C[C@H](C(=O)N[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)CC1=O,-7.377,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H](CNC(=O)c1ccc2nn[nH]c2n1)NC(=O)c1cc(-c2nn[nH]n2)c[nH]1,-7.412,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cnn(CC(=O)N[C@@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)c1,-7.081,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ccncc1-c1nn[nH]n1)[C@H]1CCc2nn[nH]c2C1,-7.518,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nnc2n1C[C@H](C(=O)N[C@@H]1CN(c3ncccc3-c3nn[nH]n3)C[C@@H]1O)CC2,-7.148,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2ncccc2-c2nn[nH]n2)CCO1)c1nc2ncccn2n1,-7.208,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1,-7.537,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@H]1C[C@H](NC(=O)c2cnn[nH]2)CN1C(=O)c1ccc(-c2nn[nH]n2)[nH]1,-7.066,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN1C[C@H](C(=O)NC[C@H]2CCCN(c3ncccc3-c3nn[nH]n3)C2)NC1=O,-7.252,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1CCO[C@@H]1C(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1,-7.29,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1ccc2nnnn2c1)[C@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.761,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1nc[nH]n1)N1CC[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.046,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1cc(C(=O)NC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)CCO2)c(O)nc1=O,-7.336,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
NC(=O)c1nccnc1C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1cccc(O)n1,-7.025,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)N[C@H]2[C@@H]3CN(c4cncc(-c5nn[nH]n5)n4)C[C@@H]32)cnn1C,-7.129,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cc2n(n1)CCCO2,-7.279,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cnon1,-7.625,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)N[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.21,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C)C(=O)NCC(=O)NC[C@H]1CCN(C(=O)c2cc(=O)n3[nH]nnc3n2)[C@@H]1c1cccnc1,-7.153,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cocn1)N1CC[C@H]2OCCN(c3cncc(-c4nn[nH]n4)n3)[C@@H]2C1,-7.892,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN1C[C@H](C(=O)NC[C@@H]2COCCN2c2cncc(-c3nn[nH]n3)n2)NC1=O,-7.096,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cc(C(=O)NC[C@@H]2COCCN2c2ccc(-c3nn[nH]n3)nn2)on1,-7.581,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nnc(CC(=O)NCC[C@@H]2CN(c3ccnc(-c4nn[nH]n4)n3)CCS2(=O)=O)o1,-7.678,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
