SMILES,docking_score_kcal_mol,selectivity_note
COc1nn(C)cc1C(=O)N[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.054,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N1CC[C@@H](CNc2cncc(-c3nn[nH]n3)n2)C1,-7.136,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1CC[C@@H](NC(=O)c2ccc(-c3nn[nH]n3)[nH]2)C1,-7.399,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1ccn2nnnc2c1,-7.507,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc(-c2nn[nH]n2)[nH]1)N1CC[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.777,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ncccc2-c2nn[nH]n2)CCO1)[C@H]1CCc2nn[nH]c2C1,-7.344,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nc(C(=O)NC[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)c(C)o1,-7.458,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccnc2[nH]nnc12,-7.53,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1cnn(C)n1)[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.758,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1cn(C)c(=O)cn1)[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.665,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
