SMILES,docking_score_kcal_mol,selectivity_note
Cc1nonc1CC(=O)N[C@@]1(C)CCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.309,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc2c(N[C@@H]3CN(C(=O)c4c[nH]c(-c5nn[nH]n5)c4)C[C@@H]3O)ncnc21,-7.449,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1[C@H](NC(=O)c2c[nH]c(-c3nn[nH]n3)c2)CCCN1C(=O)c1cn(C)nn1,-7.013,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1cnn(C)c1N)[C@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.025,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C[C@@H]1CCCN(C(=O)c2ncn(C)n2)C1)c1ccnc(-c2nn[nH]n2)n1,-7.151,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@H]1[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@H]21)c1nc2ncccn2n1,-7.195,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2CN(c3ncccc3-c3nn[nH]n3)C[C@H]21)c1ncccc1O,-7.122,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CC(C)n1ccc(CC(=O)N[C@@H]2CN(c3ccc(-c4nn[nH]n4)nn3)C[C@@H]2O)n1,-7.317,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1C[C@H](C(=O)N2CC[C@H](CNC(=O)c3ccnnc3O)[C@H]2c2cccnc2)CN1,-7.208,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1cnnc(O)c1,-7.279,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)N[C@H]2[C@@H]3CN(c4cncc(-c5nn[nH]n5)n4)C[C@@H]32)cnn1C,-7.133,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.001,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1cn(C)c(=O)cn1)[C@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.281,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(CCCn1cncn1)N[C@@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.066,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1[C@@H](NC(=O)c2n[nH]cc2F)CCN1c1nccn2nnnc12,-7.214,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1cc(C(=O)NC[C@@]2(O)CCN(c3ccnc(-c4nn[nH]n4)n3)C2)ccn1,-7.039,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cnoc1C(=O)N[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1O,-7.292,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1ccc(C(=O)NC[C@@]2(O)CCN(c3ncccc3-c3nn[nH]n3)C2)nn1,-7.34,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1,-7.601,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1[nH]nc(C(=O)N[C@H]2CCN(c3ccncc3-c3nn[nH]n3)C[C@@H]2O)c1O,-7.239,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]cc1C(=O)NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.006,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H](N[C@@H]1CCCN(C(=O)c2cnn3ncccc23)C1)C(=O)NC(N)=O,-7.081,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1nccc(C(=O)NC[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.126,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1cc(C(=O)N[C@H]2[C@@H]3CN(c4cncc(-c5nn[nH]n5)n4)C[C@@H]32)on1,-7.051,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.851,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cn(C2CCOCC2)nn1)N1C[C@H]2OCCN(C(=O)c3cnon3)[C@H]2C1,-7.282,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1CCO[C@@H]1C(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1,-7.194,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ccncc1-c1nn[nH]n1)c1ccn2nnnc2c1,-7.006,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1ccncc1CC(=O)NC[C@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.154,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1nnc(O)nc1O)N1CC[C@@H]2[C@H](CCN2c2ncccc2-c2nn[nH]n2)C1,-7.506,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H](C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1cnoc1)C2)n1cnnn1,-7.426,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cn1ncnn1)NCC[C@H](N=c1cc[nH]c(-c2nn[nH]n2)n1)c1ccccc1,-7.377,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1COCCN1C(=O)c1c[nH]c(-c2nn[nH]n2)c1,-7.427,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN1C[C@H](C(=O)NC[C@H]2CCN(c3ncccc3-c3nn[nH]n3)C2)NC1=O,-7.089,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cc1cncc(O)c1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.106,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
