SMILES,docking_score_kcal_mol,selectivity_note
COC(=O)c1cn([C@@H]2CCCN(C(=O)NC[C@H]3CC(C(N)=O)=NO3)C2)nn1,-7.176,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CCN(C(=O)c2cnn3cc[nH]c23)CC1)c1ncccc1O,-7.119,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1nccc(C(=O)N[C@@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.112,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cn1ncnn1)N[C@H](CNc1nccn2nnnc12)Cc1ccccc1,-7.039,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(C1CS(=O)(=O)C1)N1CC[C@@H]2[C@H](CCN2c2ccc(-c3nn[nH]n3)nn2)C1,-7.4,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCCN1c1nccn2nnnc12)[C@H]1CCc2nn[nH]c2C1,-7.139,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1c(=O)c2c(ncn2CC(=O)N2CCN(c3cnccc3-c3nn[nH]n3)CC2)n(C)c1=O,-7.439,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
