SMILES,docking_score_kcal_mol,selectivity_note
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1nc2ncccn2n1,-7.46,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1cccn2nnnc12,-7.685,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1ccc(C(=O)NC[C@H]2CN(c3ncccc3-c3nn[nH]n3)C[C@@H]2O)n1,-7.03,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC1(N=c2cc[nH]c(-c3nn[nH]n3)n2)CC1)c1ccnc2[nH]nnc12,-7.99,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1ccn2nnnc2c1,-7.252,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1C(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2c1cncc(-c2nn[nH]n2)n1,-7.144,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1ccn2nnnc2c1,-7.433,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cc(C(=O)NC[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)ncc1C(N)=O,-7.613,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]c(C(=O)NC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@H]2O)n1,-7.162,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnsn1)N1CC[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.329,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1COCCN1C(=O)c1c[nH]c(-c2nn[nH]n2)c1,-7.534,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@@H]2[C@H]1CCCN2C(=O)c1cc(-c2nn[nH]n2)c[nH]1)c1ncccc1O,-7.48,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.47,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccc3nnnn3n2)C1)c1ccn2nnnc2c1,-7.057,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.102,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@]1(NC(=O)c2cc(-c3nn[nH]n3)c[nH]2)CCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.108,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1ccnc2[nH]nnc12,-7.403,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O)c1nc2ncccn2n1,-7.637,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1ccc(C(=O)NC[C@@]2(O)CCN(c3ncccc3-c3nn[nH]n3)C2)nn1,-7.339,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.793,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c[nH]c(C(=O)NC[C@H]2COCCN2c2cncc(-c3nn[nH]n3)n2)n1,-7.135,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.928,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1C(=O)c1c[nH]c(-c2nn[nH]n2)c1,-7.323,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1,-7.345,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cc(C(=O)NC[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)on1,-7.839,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1ccnc2[nH]nnc12,-7.57,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2ccncc2-c2nn[nH]n2)CCO1)c1ccn2nnnc2c1,-7.738,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1ncc(C(=O)N[C@@H]2C[C@H]3CC[C@@H]2N3c2ccnc(-c3nn[nH]n3)n2)c1N,-7.648,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cnnc(O)c1,-7.238,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1ccnc2[nH]nnc12,-7.707,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cnnc(O)c1,-7.018,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cn(C2CCOCC2)nn1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.433,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nc(C(=O)NC[C@H]2CN(c3ncccc3-c3nn[nH]n3)C[C@H]2O)c(=O)[nH]c1C,-7.375,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cn[nH]c1)N1CC[C@@H]2[C@H](CCN2c2cncc(-c3nn[nH]n3)n2)C1,-7.504,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CC(C)(C(=O)NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)N1CCOCC1,-7.049,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1n[nH]c2c1CCCC2)N1CC2(CCCN2C(=O)c2cc(=O)n3[nH]nnc3n2)C1,-7.283,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1nc2ncccn2n1,-7.083,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1ccc2nn[nH]c2n1,-7.688,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.327,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1c[nH]c(=O)cn1,-7.319,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
COc1cncc(C(=O)N[C@@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.316,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)NC[C@H]2COCCN2c2cncc(-c3nn[nH]n3)n2)cnn1C,-7.376,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)[C@H]1CCCCS1(=O)=O,-7.056,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1c[nH]c(-c2nn[nH]n2)c1)[C@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.28,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1n[nH]c(C)c1C(=O)NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.281,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.234,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1cnc(C(=O)N[C@@H]2CC[C@H](CNC(=O)c3cc(-c4nn[nH]n4)c[nH]3)C2)cc1=O,-7.14,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)NC[C@@H]2CCCCN2c2ncccc2-c2nn[nH]n2)n1,-7.17,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1ccc(C(=O)NC[C@H]2COCCN2c2ncccc2-c2nn[nH]n2)n1,-7.088,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CC[C@H](C)N(c2cncc(-c3nn[nH]n3)n2)C1,-7.533,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1COCCN1c1ccc(-c2nn[nH]n2)nn1,-7.204,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nn[nH]c1C(=O)NC[C@H]1CC[C@@H](NC(=O)c2ccc(-c3nn[nH]n3)[nH]2)C1,-7.198,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)c1cnnc(O)c1,-7.173,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cc2n(n1)CCO2)N1CC[C@@H]2[C@@H]1CCCN2c1nccnc1-c1nn[nH]n1,-7.263,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1CN(c2ncccc2-c2nn[nH]n2)C[C@H]1NC(=O)c1cn(CC(N)=O)nn1,-7.078,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(Cc1cccnc1)NC[C@H]1CN(c2ccc(-c3nn[nH]n3)nn2)C[C@H]1O,-7.23,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCN(c2ncccc2-c2nn[nH]n2)C[C@@H]1O,-7.081,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CCn1ccc(C(=O)N[C@H]2CC[C@@H](CN=c3cc[nH]c(-c4nn[nH]n4)n3)C2)n1,-7.102,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1OCCO[C@@H]1C(=O)NC[C@@]1(C)CN(c2cncc(-c3nn[nH]n3)n2)CCO1,-7.592,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
C[C@@H]1[C@@H](NC(=O)c2cc(-c3nn[nH]n3)c[nH]2)CCN1c1cncc(-c2nn[nH]n2)n1,-7.567,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccc2nnnn2c1,-7.942,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1c(=O)ccn(CC(=O)NC[C@H]2CCN(c3ncccc3-c3nn[nH]n3)C2)c1=O,-7.227,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cc(-c2nn[nH]n2)c[nH]1)N1CC[C@H](CN=c2cc[nH]c(-c3nn[nH]n3)n2)C1,-7.556,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)[C@@H]1CCc2nn[nH]c2C1,-7.491,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2[C@H]1CCCN2C(=O)c1ccc(-c2nn[nH]n2)[nH]1)c1ncccc1O,-7.239,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1cnnc(O)c1,-7.277,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nc(C(=O)NC[C@@H]2COCCN2c2ncccc2-c2nn[nH]n2)c(=O)[nH]c1C,-7.07,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cccc(-n2cncn2)n1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.511,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1nc2ncccn2n1,-7.51,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NCC[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCS1(=O)=O,-7.838,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1C[C@H](C(=O)NC[C@H]2CCCN2c2ncccc2-c2nn[nH]n2)NC(=O)N1,-7.223,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@@H]1COCCN1c1ccc(-c2nn[nH]n2)nn1,-8.131,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1c(C(=O)NC[C@H]2COCCN2c2ccc(-c3nn[nH]n3)nn2)nnn1C,-7.371,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.103,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccn2nnnc2c1,-7.981,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1O)[C@@H]1Cc2cccnc2C1,-7.002,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cc(-c2nn[nH]n2)c[nH]1)N1C[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)C[C@H]21,-7.553,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnnc(O)c1)N1CC[C@H]2CCN(c3cncc(-c4nn[nH]n4)n3)[C@@H]2C1,-7.856,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnn[nH]1)N1C[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@]2(C(=O)O)C1,-7.351,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.046,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CNC(=O)c1ccc(C(=O)N[C@@H]2C[C@H]3CC[C@@H]2N3c2cncc(-c3nn[nH]n3)n2)cn1,-7.208,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cnc2[nH]nnc2c1,-7.615,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.134,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc2nnc(O)n2c1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.548,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnon1)N1CC[C@@H]2[C@H](CCN2c2ccnc(-c3nn[nH]n3)n2)C1,-7.817,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
